股票代码,公司名称,报表,项目,报告期,金额
688596,正帆科技,balance_yearly,应收票据及应收账款,2016-12-31 00:00:00,242227909.9
688596,正帆科技,balance_yearly,应收账款,2016-12-31 00:00:00,210172086.8
688596,正帆科技,balance_yearly,应收票据,2016-12-31 00:00:00,32055823.1
688596,正帆科技,balance_yearly,预付账款,2016-12-31 00:00:00,51943625.32
688596,正帆科技,balance_yearly,存货,2016-12-31 00:00:00,237107966.06
688596,正帆科技,balance_yearly,其他应收款,2016-12-31 00:00:00,7074831.12
688596,正帆科技,balance_yearly,流动资产,2016-12-31 00:00:00,631981307.37
688596,正帆科技,balance_yearly,固定资产,2016-12-31 00:00:00,102061509.48
688596,正帆科技,balance_yearly,无形资产,2016-12-31 00:00:00,35122012.52
688596,正帆科技,balance_yearly,长期待摊费用,2016-12-31 00:00:00,621982.73
688596,正帆科技,balance_yearly,总资产,2016-12-31 00:00:00,891964062.14
688596,正帆科技,balance_yearly,短期借款,2016-12-31 00:00:00,47500000.0
688596,正帆科技,balance_yearly,应付票据及应付账款,2016-12-31 00:00:00,188039249.48
688596,正帆科技,balance_yearly,应付账款,2016-12-31 00:00:00,188039249.48
688596,正帆科技,balance_yearly,应付职工薪酬,2016-12-31 00:00:00,13035585.65
688596,正帆科技,balance_yearly,应付税费,2016-12-31 00:00:00,12195733.18
688596,正帆科技,balance_yearly,其他应付款,2016-12-31 00:00:00,2849570.97
688596,正帆科技,balance_yearly,流动负债,2016-12-31 00:00:00,462477203.41
688596,正帆科技,balance_yearly,长期应付款,2016-12-31 00:00:00,82378665.05
688596,正帆科技,balance_yearly,总负债,2016-12-31 00:00:00,555903768.46
688596,正帆科技,balance_yearly,实收资本,2016-12-31 00:00:00,149245049.0
688596,正帆科技,balance_yearly,少数股东权益,2016-12-31 00:00:00,14552157.47
688596,正帆科技,balance_yearly,合同负债,2017-12-31 00:00:00,189312890.35
688596,正帆科技,balance_yearly,应收票据及应收账款,2017-12-31 00:00:00,343269034.89
688596,正帆科技,balance_yearly,应收账款,2017-12-31 00:00:00,260561082.81
688596,正帆科技,balance_yearly,应收票据,2017-12-31 00:00:00,82707952.08
688596,正帆科技,balance_yearly,预付账款,2017-12-31 00:00:00,35044311.15
688596,正帆科技,balance_yearly,存货,2017-12-31 00:00:00,300536810.98
688596,正帆科技,balance_yearly,其他应收款,2017-12-31 00:00:00,14799159.45
688596,正帆科技,balance_yearly,流动资产,2017-12-31 00:00:00,782972498.22
688596,正帆科技,balance_yearly,固定资产,2017-12-31 00:00:00,94159887.33
688596,正帆科技,balance_yearly,无形资产,2017-12-31 00:00:00,35153825.74
688596,正帆科技,balance_yearly,长期待摊费用,2017-12-31 00:00:00,1186507.94
